"political_interest","political_trust","read_newspapers","canvassed","education_level","age","ideology"
2,5,1,1,4,31,5
2,7,2,1,4,28,3
2,7,2,1,0,63,5
2,3,2,1,2,66,1
0,1,1,1,0,82,5
2,3,2,1,3,35,5
3,5,2,1,3,62,4
1,2,2,1,3,65,5
1,4,1,1,0,64,6
1,4,1,1,0,45,8
2,2,2,1,4,38,3
1,NA,NA,1,2,67,5
1,0,2,1,0,73,5
1,5,1,1,0,71,5
1,6,1,1,0,42,NA
2,1,2,1,4,34,2
3,4,2,1,4,29,2
3,6,2,1,3,22,0
0,0,1,2,1,71,5
0,0,1,1,0,73,NA
1,4,2,1,2,31,NA
0,3,1,1,2,50,NA
2,1,1,1,0,25,NA
0,0,1,1,5,37,5
0,0,1,1,0,63,5
1,0,1,1,0,30,3
3,3,2,2,4,54,3
2,3,2,1,4,86,7
2,4,2,2,0,70,5
3,3,2,2,4,45,3
2,7,1,1,0,69,NA
2,0,1,1,4,58,5
3,3,2,2,2,76,1
3,5,2,1,4,70,3
1,4,1,1,4,66,5
3,7,2,1,0,75,6
1,1,2,2,0,74,5
0,3,1,2,3,45,1
2,3,2,1,3,46,4
1,0,1,1,1,77,5
2,3,1,1,0,56,10
2,4,2,1,4,23,5
1,0,1,1,3,29,5
2,3,2,1,4,42,6
1,5,1,1,3,42,NA
0,NA,1,1,4,27,5
2,7,2,1,4,84,5
2,3,2,1,2,63,5
2,1,1,1,4,79,5
2,7,1,1,0,73,7
0,0,2,1,3,38,5
1,0,1,NA,1,35,NA
1,4,2,2,4,48,NA
NA,0,1,1,3,45,NA
1,3,1,1,4,72,5
2,0,1,1,4,46,5
0,5,1,1,2,21,NA
1,1,1,1,3,26,5
1,5,2,1,4,57,10
2,3,2,1,4,22,2
2,0,2,2,2,51,NA
0,0,1,1,3,31,NA
3,1,2,2,5,42,3
0,0,1,1,4,72,NA
0,2,1,2,2,61,NA
1,0,1,1,3,37,NA
3,8,2,2,5,40,6
1,5,2,1,1,52,4
3,6,2,1,0,78,7
2,3,1,1,4,63,5
3,5,2,1,2,58,3
1,3,1,1,4,26,3
2,3,2,2,4,41,0
1,2,1,2,0,29,NA
2,4,2,2,3,44,6
1,3,1,2,3,48,4
1,7,1,1,0,75,5
2,5,2,2,2,65,NA
1,6,1,2,0,48,4
1,0,1,1,2,50,NA
0,2,1,1,0,34,5
2,8,2,1,4,61,6
3,4,2,1,4,42,7
0,2,1,1,3,41,6
2,3,2,1,5,73,6
2,5,2,1,4,63,6
0,2,1,2,2,63,4
2,6,2,1,2,78,8
2,0,2,1,0,69,5
1,8,2,1,0,71,7
3,7,1,1,0,49,5
1,3,1,1,4,38,4
2,5,2,1,4,50,5
2,1,2,1,0,66,4
2,6,2,1,3,24,6
2,7,1,1,0,48,3
2,0,1,1,4,55,NA
0,3,1,1,0,76,4
1,5,1,1,3,61,5
2,4,2,1,4,48,7
1,7,1,1,3,18,5
2,7,1,1,4,37,8
2,7,1,1,4,46,7
2,4,1,1,0,71,10
3,5,2,1,3,53,6
0,4,1,1,2,55,5
1,4,1,1,3,18,3
3,5,2,1,4,70,2
NA,0,1,1,3,44,5
1,5,1,1,0,38,5
2,3,2,1,0,44,4
2,5,1,2,4,23,5
1,3,1,2,3,23,0
2,5,1,1,4,73,5
1,3,1,1,4,62,5
3,0,2,2,2,71,7
2,4,1,2,0,49,2
3,4,2,1,4,68,5
1,2,2,1,4,54,5
2,4,2,1,5,59,8
2,8,2,1,3,71,5
2,2,1,2,0,48,NA
0,5,1,1,3,57,NA
3,1,2,2,4,43,4
1,2,1,2,3,45,3
2,3,2,1,0,68,7
3,5,2,1,4,72,0
2,7,2,1,2,66,7
2,3,2,2,4,37,3
2,5,1,1,3,44,8
3,7,2,1,4,79,8
1,2,2,2,1,90,5
2,0,1,2,2,65,5
2,4,2,1,5,31,5
1,6,2,1,3,71,4
1,5,2,1,4,72,4
2,6,1,1,2,67,8
1,3,1,1,0,71,4
2,2,2,1,4,64,5
2,0,1,1,2,22,0
2,6,1,1,4,74,NA
3,5,2,1,2,59,2
1,9,1,1,0,57,7
2,7,2,1,0,73,2
2,5,1,1,4,33,1
1,5,2,1,0,24,5
2,6,2,1,0,63,7
2,4,1,1,0,27,7
0,10,1,1,0,31,NA
0,0,1,2,0,55,0
2,7,2,NA,4,41,2
2,5,2,1,3,54,8
3,3,2,2,2,72,5
2,6,1,1,4,51,3
0,0,1,1,3,32,5
3,7,2,2,3,61,7
3,5,2,1,4,34,5
3,3,2,1,0,66,2
1,4,1,2,0,58,3
3,3,2,2,4,34,5
2,3,2,1,3,46,3
0,1,2,1,3,66,4
3,8,2,2,4,39,2
